Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,22 pF,C541361
"C10, C11, C12, C13, C7, C8, C9",0402,7,100nF,C541407
"C4, C6",0402,2,1uF,C437522
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D193, D194, D195, D196, D197, D198, D199, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D7, D8, D9",D_SOD-123-notxt,71,D_Small,C2099
"D100, D101, D102, D103, D104, D105, D106, D107, D108, D109, D110, D111, D112, D113, D114, D115, D116, D117, D118, D119, D120, D121, D122, D123, D124, D125, D126, D127, D128, D129, D130, D131, D132, D133, D134, D135, D136, D137, D138, D139, D140, D141, D142, D143, D144, D145, D146, D147, D148, D149, D150, D151, D152, D153, D154, D155, D156, D157, D158, D159, D160, D161, D162, D163, D164, D165, D166, D167, D168, D169, D170, D171, D172, D173, D174, D175, D176, D177, D178, D179, D180, D181, D182, D183, D184, D185, D186, D187, D188, D189, D190, D191, D192, D65, D66, D67, D68, D69, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D80, D81, D82, D83, D84, D85, D86, D87, D88, D89, D90, D91, D92, D93, D94, D95, D96, D97, D98, D99",LED_WS2812B-2020_PLCC4_2.0x2.0mm-notext,128,WS2812B-2020,C965555
F1,1206,1,500mA,C136320
J2,USB_C_Receptacle_G-Switch_GT-USB-7025-notxt,1,USB_C_Receptacle_USB2.0_16P,C963213
"R1, R2, R5",0402,3,1k,C11702
"R3, R4",0402,2,27R,C25100
"R6, R7",0402,2,5k1,C25905
R8,0402,1,500R,C124084
U1,RP2040-QFN-56-notext,1,RP2040,C2040
U2,SON127P500X600X80-9N-notxt,1,W25Q16JVZPIQ,C377853
U3,SOT-23-6-notxt,1,USBLC6-2SC6,C7519
U4,SOT-23-3-notxt,1,XC6206PxxxMR,C5148692
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm-notxt,1,X322512MSB4SI,C9002
